YSK4,ZKB3,CDC4,OVU3,GIB11,SAC4,URA11,OYC11,QJB3,UKK11,VYE4,EVH4,YTH11,URF3,ILC4,ZDN4,BIG11,MCA4,RRZ4,KEQ11,RZC4,HLD11,FUP4,JLI4,DJI3,BCM4,EZN11,HAC3,KQQ3,PFZ4,FCW3,XDA3,TFJ4,NFW3,JYH3,FMT3,LPL3,BSH4,ZUG11,CWF3,VJH4,GVV3,FJE11,QQC11,XMU4,CGD4,UDS3,LPI4,KWQ3,FAF4
1389.21,362.07,732.3,316.91,268.31,201.43,918.81,1357.0,1159.88,3437.63,909.62,20155.84,390.49,201.73,796.63,364.79,568.51,783.15,648.39,409.77,3143.84,211.07,455.79,587.53,659.48,585.99,432.22,25477.02,622.15,1191.16,395.33,605.05,155.2,207.48,4981.66,25374.97,715.07,423.67,1056.99,4266.74,417.12,313.08,16094.49,1589.31,414.58,539.5,260.35,1187.78,346.62,689.67
1382.05,360.22,730.67,315.55,270.38,200.9,915.23,1368.06,1161.45,3425.89,904.76,19853.65,391.14,200.82,804.5,360.35,568.64,782.63,645.74,412.58,3189.83,212.58,453.79,594.14,661.4,583.24,425.84,25723.86,622.43,1188.07,399.43,599.49,154.44,206.54,5042.52,25702.61,704.78,425.34,1046.58,4279.51,419.71,310.8,16111.37,1598.1,408.05,547.18,257.05,1180.77,348.43,688.5
1370.91,360.42,730.41,314.76,269.98,202.12,910.73,1337.97,1159.63,3372.32,917.28,20158.81,397.19,200.44,811.62,358.64,578.04,774.69,653.49,416.61,3186.96,214.43,453.74,590.34,661.97,592.11,423.37,26207.12,619.81,1165.82,396.17,596.23,154.95,210.99,5003.61,25807.68,708.46,430.16,1039.96,4305.15,418.62,312.25,15914.93,1593.46,409.97,547.27,256.78,1174.15,344.2,675.67
1366.73,359.43,743.58,316.29,269.02,202.72,921.38,1336.95,1145.73,3388.73,919.37,20328.47,397.64,202.22,823.83,354.03,586.53,776.48,648.81,421.05,3218.95,215.4,452.33,588.95,655.96,601.06,419.58,26690.2,623.12,1165.44,399.42,593.61,155.72,213.61,4995.02,25623.97,713.72,424.51,1026.88,4346.57,414.45,309.31,15700.21,1604.35,406.32,549.42,255.58,1177.88,345.45,665.77
1350.34,357.99,741.04,317.01,271.91,202.53,933.03,1359.42,1157.19,3353.3,918.17,20601.1,404.09,199.61,819.29,353.93,594.54,784.56,647.26,420.58,3251.69,214.48,449.05,582.87,662.07,605.11,413.05,26534.7,637.06,1162.97,397.08,606.85,155.51,213.77,4843.03,25426.89,711.14,423.03,1043.0,4375.42,409.13,302.36,15529.44,1631.01,406.41,545.12,258.62,1192.9,346.86,669.67
1340.09,355.96,735.28,320.99,267.22,207.27,923.07,1371.82,1166.13,3304.59,915.44,20489.02,401.06,202.66,826.79,351.64,587.63,774.57,648.9,415.5,3220.61,214.53,442.72,587.84,656.49,593.79,417.02,26164.15,647.09,1169.71,386.56,606.45,154.78,214.98,4868.85,25408.12,715.34,423.54,1036.47,4301.75,402.43,297.33,15642.11,1648.31,402.83,542.69,259.03,1172.33,342.09,669.39
1322.74,354.88,745.4,319.2,265.48,206.51,936.2,1386.72,1172.13,3237.01,914.42,20658.65,400.39,197.82,835.4,355.89,594.14,774.61,661.53,418.87,3260.28,213.46,441.91,594.17,670.73,596.11,412.0,26180.8,639.34,1156.17,389.48,613.34,156.6,217.25,4926.8,25178.61,706.87,424.05,1039.99,4340.46,399.11,295.32,15550.21,1631.68,403.95,546.13,257.93,1161.98,341.07,665.14
1314.99,357.51,753.07,318.07,266.98,208.64,933.97,1373.32,1177.26,3241.89,904.68,21084.52,397.13,195.26,843.04,353.03,604.09,784.1,653.34,419.07,3229.87,214.56,442.43,591.95,677.02,606.98,409.34,26934.68,635.17,1154.38,396.33,606.29,157.61,214.96,4934.02,25436.04,716.67,416.74,1050.8,4338.44,402.46,299.03,15542.95,1630.8,404.55,548.91,256.54,1153.06,338.14,671.88
1332.69,361.9,755.2,318.32,262.95,210.39,914.67,1372.19,1146.21,3257.5,906.89,21310.89,395.79,196.74,839.05,353.19,607.95,782.0,665.12,418.77,3196.68,211.56,451.13,589.71,668.52,597.22,404.29,26504.22,640.05,1144.08,391.33,606.12,156.92,215.95,4947.59,25121.28,716.59,414.67,1065.86,4340.93,401.98,297.68,15578.3,1635.69,411.75,550.23,258.55,1165.25,340.25,673.35
1345.53,362.33,743.74,316.26,262.35,209.55,917.81,1357.23,1143.86,3267.88,894.07,21379.22,397.28,195.52,832.08,350.55,608.9,791.58,667.26,420.06,3178.04,209.82,453.07,579.92,664.2,593.55,409.33,26256.7,649.76,1147.69,391.36,600.42,157.68,215.36,5091.48,25612.83,703.78,415.65,1074.79,4409.86,405.1,295.97,15294.6,1599.91,414.7,553.47,257.34,1145.14,335.42,670.35
1344.77,368.48,730.33,315.65,262.25,214.64,917.97,1365.22,1150.55,3227.74,889.07,21433.28,393.69,192.04,816.44,348.06,599.24,795.76,667.15,415.69,3195.33,204.03,455.68,574.22,660.53,592.19,410.92,26022.73,643.25,1149.78,396.16,610.72,159.28,215.53,5159.87,25477.28,707.83,408.35,1075.02,4440.07,415.34,295.51,15405.68,1601.81,415.19,549.1,258.26,1144.08,339.35,665.35
1318.44,372.62,738.7,319.08,268.45,212.45,911.26,1376.44,1165.48,3244.39,887.12,21864.44,394.84,190.84,789.39,347.2,599.34,790.81,672.8,409.26,3178.64,207.46,456.87,571.38,665.25,601.83,411.71,26207.55,643.82,1169.81,398.5,600.86,160.92,217.2,5161.74,25466.72,714.31,400.58,1075.93,4461.89,414.43,294.98,15698.69,1586.58,413.26,548.72,260.63,1166.44,341.81,662.45
1301.85,379.89,739.84,322.62,271.9,213.4,904.41,1391.12,1147.8,3174.68,881.36,21964.35,392.79,189.95,793.8,347.02,597.07,796.5,676.49,410.04,3146.21,207.68,453.56,561.11,675.86,616.24,407.39,26486.13,645.13,1174.31,399.94,599.14,159.8,222.71,5143.56,25683.67,704.83,402.61,1068.66,4468.42,411.76,293.8,15831.19,1567.18,409.92,542.61,256.1,1173.51,335.11,665.56
1296.15,376.61,729.82,319.48,275.97,211.95,906.05,1390.56,1129.15,3212.07,894.1,21976.61,391.46,189.82,788.21,345.53,600.41,773.35,676.29,402.5,3114.17,208.99,453.33,565.47,688.08,620.24,407.62,26671.24,644.57,1170.31,402.54,597.53,157.46,222.6,5192.72,25289.51,707.3,403.02,1087.42,4518.55,411.26,293.02,15875.93,1585.06,415.35,534.79,258.33,1162.33,334.35,674.19
1302.41,377.3,723.02,315.4,276.44,212.51,914.43,1390.96,1135.11,3270.62,888.6,21784.33,390.34,190.44,803.22,346.83,604.81,759.84,660.6,403.95,3032.95,206.65,454.28,561.85,683.23,616.91,403.54,26694.68,646.17,1166.38,403.32,597.82,159.04,220.02,5204.26,25154.19,707.62,399.36,1088.99,4568.64,403.53,288.04,15862.55,1562.08,408.43,533.46,261.44,1164.59,337.55,685.5
1295.18,378.83,725.73,319.95,277.17,214.76,919.71,1405.63,1138.88,3284.37,885.11,21479.44,399.28,189.59,796.76,346.26,606.29,761.27,653.1,403.81,2980.03,205.93,453.35,556.81,684.28,622.03,403.03,26731.89,655.52,1160.38,397.45,599.19,160.4,222.74,5233.34,24937.74,704.32,406.59,1084.09,4555.11,404.93,290.91,15847.21,1548.27,406.55,523.48,263.67,1151.83,341.25,685.82
1312.8,388.83,727.18,319.1,277.18,214.92,924.01,1408.46,1150.09,3297.05,874.06,21479.02,398.14,190.27,790.33,345.51,618.22,754.69,647.2,398.84,2952.46,208.02,454.44,549.99,685.51,615.97,402.11,26654.88,645.89,1147.71,397.01,594.85,160.06,225.85,5254.23,24848.84,700.78,409.44,1077.24,4636.87,405.06,289.43,15707.25,1584.02,410.76,521.35,260.97,1148.24,345.9,691.93
1309.41,391.23,725.13,316.63,277.32,216.52,937.08,1417.76,1169.53,3309.37,863.17,21517.51,398.85,187.56,791.33,346.93,611.19,755.48,645.18,394.68,2952.95,209.21,452.41,549.85,677.01,606.88,408.62,26599.05,634.2,1143.64,392.0,588.99,158.55,223.92,5216.77,25102.12,703.09,398.35,1073.91,4601.02,402.38,292.05,15579.93,1582.62,414.91,515.35,266.44,1129.43,342.53,685.01
1316.63,393.36,725.35,316.47,274.74,213.65,934.58,1392.43,1173.56,3356.31,857.62,21314.4,397.31,189.75,782.39,348.04,615.32,770.18,652.28,388.18,2973.14,210.11,447.68,552.08,669.55,599.17,412.76,26407.63,639.87,1147.5,389.58,576.53,159.36,226.36,5164.55,25001.73,698.95,395.23,1064.5,4607.48,405.72,291.29,15438.27,1586.85,417.41,512.48,268.39,1141.89,343.44,676.26
1319.99,391.06,733.08,317.84,273.74,215.4,926.73,1400.63,1158.32,3388.89,870.71,21432.26,397.35,192.32,778.95,346.72,621.06,773.29,661.74,387.96,2965.94,212.57,455.58,549.82,682.39,589.37,410.53,26331.23,641.87,1138.6,391.7,574.09,159.83,226.34,5118.26,25172.72,705.66,394.92,1062.73,4642.9,402.6,291.74,15473.34,1590.83,425.51,512.15,270.52,1137.85,341.56,671.53
1332.44,390.87,734.56,323.03,274.43,218.45,929.2,1390.83,1162.88,3403.22,860.66,21971.14,388.73,192.93,781.59,342.64,620.13,773.56,671.34,387.0,2964.33,215.83,450.4,548.78,683.9,586.5,409.51,25949.29,639.65,1137.57,399.21,576.43,156.66,224.1,5055.66,25444.94,714.65,402.15,1069.16,4574.09,406.67,291.47,15323.71,1615.38,422.32,503.55,268.81,1149.5,340.21,684.12
1322.79,386.29,751.13,326.04,277.07,218.71,937.07,1401.08,1166.57,3390.59,858.21,21819.87,385.95,191.6,789.87,342.19,617.88,767.16,670.24,388.27,2976.62,215.27,445.03,548.16,688.02,586.34,406.19,25155.14,635.43,1140.38,403.59,585.88,153.82,223.47,5117.58,25489.5,717.76,409.67,1079.98,4569.05,411.58,294.36,15158.41,1610.59,425.68,497.6,268.2,1133.16,341.23,682.25
1321.69,391.61,763.24,326.55,277.07,220.59,934.05,1399.34,1158.91,3391.04,851.86,21737.34,389.03,189.16,790.31,337.32,613.3,754.85,665.88,391.35,3023.09,214.12,438.5,545.45,702.96,585.16,404.09,25122.65,639.08,1139.45,403.65,602.43,154.11,224.22,5164.48,25454.59,713.39,408.5,1080.31,4606.99,413.92,292.86,14976.33,1624.99,421.96,489.62,270.59,1136.69,337.86,682.58
1316.36,388.27,762.05,324.82,275.52,224.85,929.91,1398.64,1176.51,3338.53,851.77,21814.16,388.97,191.25,803.04,335.03,612.85,754.46,676.87,386.65,2993.07,214.17,442.33,547.76,718.4,587.55,394.21,25038.07,634.87,1137.43,407.4,601.09,153.56,223.51,5208.06,26197.39,698.4,404.86,1106.01,4598.33,417.22,289.29,14933.96,1627.3,422.59,494.75,270.11,1149.61,334.79,677.61
1314.61,390.49,769.94,328.55,275.56,227.29,928.38,1387.39,1193.21,3395.42,862.62,21372.29,388.16,192.4,795.8,334.29,613.28,760.1,673.51,384.05,2988.2,210.07,440.8,548.0,700.38,590.41,394.74,24980.24,636.81,1134.82,405.55,616.57,150.36,226.1,5204.45,25876.77,700.92,411.09,1098.19,4621.4,415.44,284.44,15134.08,1640.01,420.96,492.41,271.68,1129.03,334.2,672.48
1305.35,390.38,770.07,333.44,278.23,230.42,923.43,1428.53,1186.91,3414.72,863.68,21409.14,391.84,191.76,790.42,333.14,625.07,755.29,663.12,380.7,2976.83,213.17,443.82,543.38,695.07,586.7,394.18,24641.95,620.47,1146.35,405.94,624.49,149.62,229.25,5228.13,26087.46,704.96,404.47,1098.82,4662.39,413.23,283.68,15142.28,1634.55,419.92,497.99,272.47,1133.52,336.48,673.42
1284.05,385.08,763.02,331.19,279.49,232.81,916.76,1445.5,1170.55,3505.95,846.9,21719.32,391.6,189.57,795.45,334.41,631.23,770.0,658.66,384.25,2959.65,213.58,432.61,543.94,707.3,586.23,390.76,25068.91,616.15,1111.25,403.39,623.88,150.77,221.98,5217.24,26197.96,697.43,401.53,1114.62,4682.14,414.3,282.48,15223.04,1630.53,423.79,498.14,274.77,1121.17,335.38,677.76
1298.78,381.6,744.96,331.9,274.73,237.03,919.87,1454.21,1173.29,3499.92,845.02,21559.68,395.47,184.85,787.07,338.68,634.27,757.22,662.89,390.52,2963.45,214.46,428.65,542.51,714.02,586.26,388.78,25041.85,617.56,1104.93,407.02,621.36,148.01,219.12,5156.16,26478.71,695.02,394.93,1092.43,4644.77,415.82,286.27,15272.56,1635.33,417.79,498.72,272.72,1122.4,336.76,666.62
1299.15,378.29,741.12,336.18,275.67,238.9,904.25,1459.77,1183.04,3437.37,845.18,20961.36,390.04,184.95,788.64,333.78,626.97,760.85,652.87,389.8,2984.88,218.19,432.1,541.44,715.74,586.62,386.14,25082.78,624.92,1130.6,407.07,614.44,147.39,219.21,5124.4,26731.55,692.96,395.95,1087.11,4668.45,417.84,287.12,15074.27,1658.8,417.77,489.05,274.25,1121.27,337.26,673.79
1300.34,378.63,737.52,335.96,275.1,236.6,907.58,1442.18,1177.91,3419.43,851.89,20762.02,383.22,181.78,778.04,332.17,627.03,763.68,655.68,382.88,2962.8,217.25,430.67,540.7,714.42,586.19,388.46,24870.27,615.82,1115.02,413.4,600.6,146.97,221.5,5096.92,27021.62,693.96,399.21,1083.51,4676.08,416.75,288.13,15060.59,1660.27,408.43,489.82,271.49,1135.33,343.6,681.78
1302.84,380.37,754.42,334.1,281.51,233.78,918.22,1437.82,1176.92,3467.8,868.39,20728.1,380.49,182.95,785.5,331.81,630.19,772.68,651.48,378.96,2956.87,216.08,426.81,541.5,720.07,585.27,389.58,24997.76,622.03,1116.44,409.08,603.11,148.68,222.33,5076.92,27326.75,692.94,398.14,1076.71,4667.57,415.01,290.41,14932.67,1664.95,416.52,494.02,277.66,1139.79,338.6,678.31
1281.13,382.52,759.9,333.77,276.32,232.31,918.07,1434.54,1158.52,3435.6,860.38,20994.22,385.34,181.1,783.6,332.37,627.56,771.31,661.26,379.54,2998.04,218.25,432.47,545.74,719.88,591.13,392.9,25123.26,617.44,1104.81,413.92,606.04,150.02,217.44,5152.74,27801.01,679.55,393.31,1087.95,4680.98,416.64,288.87,15026.31,1655.04,414.6,493.48,278.22,1131.24,339.85,680.08
1262.87,383.09,757.91,333.57,272.02,233.24,921.71,1435.47,1156.3,3380.86,867.99,20854.65,382.28,180.08,791.02,329.35,624.95,765.4,650.45,378.16,3046.88,216.16,441.15,547.02,710.79,585.18,393.39,25417.01,624.34,1108.6,419.01,609.61,150.89,216.26,5209.83,27765.31,684.44,395.58,1069.34,4724.08,412.45,290.25,15119.57,1661.22,416.43,502.45,276.6,1108.24,337.65,678.02
1247.77,382.0,773.09,337.96,265.19,235.28,911.84,1441.01,1169.23,3415.43,866.08,20723.73,383.88,178.37,794.83,328.14,629.18,776.04,648.76,373.47,3052.55,217.95,443.57,553.98,703.12,585.95,385.94,25703.88,623.74,1111.64,423.44,610.7,152.43,216.09,5265.59,27591.58,686.76,386.52,1071.54,4700.51,416.55,291.4,14959.76,1672.1,421.84,498.79,280.06,1097.33,336.1,681.34
1261.8,379.83,778.49,341.43,260.53,236.32,909.97,1426.42,1175.1,3411.88,878.17,20665.41,380.75,175.18,809.89,327.4,629.64,779.18,653.36,375.05,3033.08,216.71,439.76,555.33,694.92,588.27,383.65,25837.42,623.18,1136.61,416.95,613.06,153.2,216.18,5232.75,27484.89,678.5,390.13,1070.09,4688.43,408.49,292.06,14947.07,1658.35,423.28,503.83,280.16,1106.5,337.67,687.21
1268.47,378.6,795.56,339.82,263.5,240.41,913.39,1446.53,1193.2,3447.53,874.95,20388.59,387.21,173.75,803.31,321.73,629.72,760.29,666.07,366.12,3034.36,213.93,434.94,557.25,705.97,582.88,378.65,25831.13,623.65,1138.13,419.76,617.78,152.86,218.96,5214.6,27714.77,684.86,385.95,1052.89,4705.93,410.89,291.79,14780.11,1640.39,424.19,506.48,278.54,1124.64,340.05,689.27
1262.79,375.36,795.84,342.06,269.36,239.8,902.14,1455.86,1202.93,3431.66,877.16,20323.43,385.06,173.51,807.78,326.01,644.79,753.37,650.47,362.29,3047.76,216.03,435.65,561.54,700.71,579.87,377.97,26242.25,635.98,1152.43,417.64,616.29,152.65,217.74,5196.58,27884.85,683.88,388.73,1069.62,4694.42,413.34,291.31,14806.83,1627.64,425.11,518.36,283.66,1123.79,335.67,692.13
1262.1,374.43,801.43,339.36,269.5,244.71,894.98,1474.44,1207.85,3399.15,865.44,20409.19,385.73,174.91,820.53,326.57,635.75,752.57,648.72,361.05,2990.09,215.64,430.33,563.35,696.06,586.41,378.72,26181.87,633.76,1145.62,419.47,609.61,150.33,217.81,5220.61,27939.77,689.42,389.75,1053.11,4771.65,415.36,293.7,14799.3,1629.53,417.03,519.42,288.22,1126.92,336.94,693.23
1275.07,371.68,805.46,343.08,274.24,242.7,893.62,1494.12,1204.4,3397.26,868.2,20466.18,384.16,175.57,827.48,322.09,641.43,752.57,653.56,363.32,2977.74,212.35,424.82,562.34,695.55,593.08,377.03,25841.74,627.44,1140.43,418.53,605.4,149.81,219.44,5258.5,28391.93,691.92,380.39,1059.0,4624.51,413.98,291.61,14620.56,1633.4,417.96,514.09,285.44,1138.97,332.33,693.18
1280.3,370.75,806.66,342.94,272.13,245.55,896.45,1483.48,1190.96,3408.57,865.39,20579.26,388.93,177.51,831.45,322.97,645.88,746.59,647.42,363.09,2979.08,212.27,423.61,557.09,696.92,597.65,376.49,25697.98,626.81,1115.21,417.66,607.03,150.87,217.01,5218.37,28428.79,685.2,382.55,1062.48,4597.3,414.76,290.89,14590.41,1643.16,423.53,515.51,290.45,1139.18,329.11,680.07
1292.08,373.19,796.33,341.8,269.13,244.63,893.48,1468.57,1164.02,3437.69,861.25,20346.64,397.07,181.26,841.1,324.93,648.25,728.1,652.04,378.08,2997.14,214.74,429.76,562.54,701.96,591.29,375.58,25648.09,627.58,1126.65,415.19,620.2,152.37,215.05,5227.21,28996.74,685.97,377.12,1063.11,4563.51,419.23,283.96,14630.11,1627.9,416.36,518.02,291.28,1157.05,331.45,683.32
1282.47,372.08,789.03,343.44,269.07,240.88,880.58,1485.35,1158.38,3459.16,863.55,20364.09,390.73,181.99,834.2,326.28,656.85,726.4,659.6,378.96,2988.95,215.68,424.82,567.5,697.43,586.19,374.54,25689.15,628.56,1121.31,420.82,608.77,154.17,216.12,5222.68,29003.65,680.15,376.77,1064.77,4598.08,417.83,284.46,14646.51,1619.58,411.11,511.98,288.39,1153.44,328.49,679.75
1291.29,372.68,782.37,345.24,265.04,242.62,893.48,1476.36,1174.33,3484.01,864.38,20530.21,390.96,183.42,838.37,324.45,655.75,731.18,657.4,373.83,2986.11,214.64,426.09,567.53,699.62,578.76,378.99,25277.1,626.96,1126.6,428.33,615.1,154.52,218.17,5236.7,29337.87,679.58,366.28,1063.42,4639.92,417.54,283.41,14555.31,1617.46,408.56,514.26,289.06,1143.18,327.06,683.45
